"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","originalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Stephen Condren","Clean, and safe regarding covid measures","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/106703678413995783684/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegUIARCcAQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Steven Butler","Parking is appalling, nasty clampers","2.0","5.0","","a year ago","","https://www.google.com/maps/contrib/107909439947405706590/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegUIARCyAQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"NELSON GEORGE","Bigger campus than I thought. Need a bit for maintenance.","4.0","5.0","","a year ago","","https://www.google.com/maps/contrib/117544838505845634260/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegQIARBa","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Richard Blondel","Amazing year at DkIT as an Erasmus student, great and reactive administrative team who took care of us. Great teachers for the BSc in computing with good pedagogical skills and a will to transfer their knowledge. Would 100% recommend","5.0","5.0","","2 years ago","","https://www.google.com/maps/contrib/105529543299310456324/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegUIARC7AQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"David Casey","Great place.","4.0","5.0","","3 months ago","https://lh5.googleusercontent.com/p/AF1QipNz44Yub_sEuphM0-cPxZp9PbW7_yodyFU422u8 | https://lh5.googleusercontent.com/p/AF1QipObcNVJspF_b8CCeqRj6xzcIcz9lL0f2DsTZEAH | https://lh5.googleusercontent.com/p/AF1QipO-zWtRGTU3YJ_q-qqUma5ReNCq8L-68oTTZ3d7 | https://lh5.googleusercontent.com/p/AF1QipO0XG8eNmYve_4Po9bqFKWlZlW959XfHD9Uyf1- | https://lh5.googleusercontent.com/p/AF1QipPjjs_CiioYThEcn5jAIWOWkkUG6qyYODiXw6XI | https://lh5.googleusercontent.com/p/AF1QipMxbSSQeKlBwadABGY9kclPqu6KcjixXUtEpp0k | https://lh5.googleusercontent.com/p/AF1QipOjkSIXkh_pXtLZO9rijkN3VvsCITAniec5a-6o | https://lh5.googleusercontent.com/p/AF1QipMaX-rKmABV9eAGPhnu0C-9Urqtc6_UBtdAuWfk | https://lh5.googleusercontent.com/p/AF1QipOLDu1bQ7gdfe6FnRXHl15aIL-qILDvlQLqG4jU | https://lh5.googleusercontent.com/p/AF1QipO-UWZpUDxN03PiOymHzJuf2dK0SwD3UAUPXREk | https://lh5.googleusercontent.com/p/AF1QipNhDsxX5fA2SKqVX5lD8GlOWEizI6yBHb5a0N9W | https://lh5.googleusercontent.com/p/AF1QipOqGB2PzHrjn_QxuheT5LCNpOE82pxFv294iqob | https://lh5.googleusercontent.com/p/AF1QipNS3ylRAW1Ser_bi1TRasIuWh0Tz7QGYG7H7E2S | https://lh5.googleusercontent.com/p/AF1QipNQTlft5YfwmB2rwAMTvP62hLkL9bQ9CaZcKu_V | https://lh5.googleusercontent.com/p/AF1QipNyxDKvhmsHuEB36p6IRSf084_pLkOHDN4_-koR | https://lh5.googleusercontent.com/p/AF1QipP7_-z9wfud8QZ_OjpvQcvmXAdsmsf2oRFUNno9 | https://lh5.googleusercontent.com/p/AF1QipNm0JIkI9E_sI4UDWofy3aqlqcGjgv6NViEKwkN | https://lh5.googleusercontent.com/p/AF1QipO3A0_yZvwWQ0aNz6dpK2_HQ7c2-J40wxpGCAUz","https://www.google.com/maps/contrib/100018177439627393137/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegQIARBQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Rhona OHagan","Brilliant as ever xxThank You Ins for Lovely Evening to Assist Us all in Our ""Darkness into Light"" Xperience once again X Again Thankz a Mil x","5.0","5.0","","6 months ago","","https://www.google.com/maps/contrib/109424381521058324598/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegQIARB5","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Mantas Nėnius","Great place to get your level 8 in civil engineering. Loved the staff and the course itself. The only drawback was paid parking and overpriced cafeteria food.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/109610180938951932122/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegUIARClAQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Danielle","Still waiting on results ? I wouldn’t recommend dkit. The lecturers don’t care about anything other than their wages. Even if you reach out to some of them on email, you probably won’t get a response for weeks at a time. One of our lecturers have been amazing and I would love if they all followed the same process as her however that is not the case. When spending enormous amounts of money on an ‘education’ I’d expect appropriate conduct, teaching and resources yet this is not the case. On top of that if you miss a class even though they are all recorded, it seems some lecturers will hold a grudge, which is sad in fact. We all have busy lives just trying to get by so if the class of recorded why should being present at the time matter? Why don’t you find lecturers who actually have a passion for teaching? Instead you take ones on who already have multiple jobs resulting in them neglecting their students, teaching process and results. Also I don’t think one lecturer should have final control over results either it should be peer reviewed by someone else in the department especially when some subjects are quite subjective too.","1.0","5.0","","5 months ago","","https://www.google.com/maps/contrib/108541957605233996787/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegQIARA6","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Alan Wilson","Great place to study with excellent facilities and staff","5.0","5.0","","6 years ago","","https://www.google.com/maps/contrib/104524077588546376705/reviews?hl=en-US&sa=X&ved=2ahUKEwiD9ofu6eP7AhXkF1kFHV6DBtAQvfQBegUIARCGAQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
"Don Dealgan","Great grounds for dog walking","3.0","5.0","","a year ago","https://lh5.googleusercontent.com/p/AF1QipP6uKxmFMaan3Wh_gnle9nUAA47VIrGKVJCxCMU","https://www.google.com/maps/contrib/114470254404505667251/reviews?hl=en-US&sa=X&ved=2ahUKEwj1t7nt6eP7AhUmF2IAHVrOCkEQvfQBegUIARDRAQ","www.google.com","","Dundalk Institute of Technology","87","4.5","Institute of Technology, Dublin Rd, Marshes Upper, Dundalk, County Louth, Ireland","ChIJg5xFFhTMYEgRwhbyrb1Dx2w","https://www.google.com/search?q=dundalk+institute+of+technology&rlz=1C1CHBF_enIN962IN962&oq=Dundalk+Institute+of+Technology&aqs=chrome.0.35i39i355j46i39j0i512l2j46i175i199i512j69i60j69i61l2.824j0j9&sourceid=chrome&ie=UTF-8#lrd=0x4860cc1416459c83:0x6cc743bdadf216c2,1,,,","https://www.google.com/maps/place/?q=place_id:ChIJg5xFFhTMYEgRwhbyrb1Dx2w"
